55,Troy,40,36,57,48,45.00
56,Reagan,17,83,62,50,53.00
57,Lucius,18,98,91,53,65.00
58,Jacob,33,1,26,18,19.00
59,Leslie,73,34,25,90,55.00
60,Shay,74,35,18,9,34.00
61,Alisa,91,25,16,45,44.00
62,Winifred,1,90,5,57,38.00
63,Timothy,41,10,28,50,32.00
64,Maris,32,100,59,13,51.00
65,Sylvia,11,43,23,97,43.00
66,Ava,46,99,28,13,46.00
67,Keely,14,57,94,67,58.00
68,Jared,34,50,96,28,52.00
69,Axel,5,66,11,90,43.00
70,Jelani,74,4,15,79,43.00
71,Madeson,33,8,47,19,26.00
72,Solomon,92,85,68,62,76.00
73,Elijah,28,91,57,27,50.00
74,Lysandra,31,70,100,10,52.00
75,Uriah,1,54,55,54,41.00
76,Jared,50,67,4,88,52.00
77,Kalia,35,67,7,51,40.00
78,Kameko,36,83,5,19,35.00
79,Daphne,46,35,35,88,51.00
80,Anthony,15,29,51,28,30.00
81,George,85,45,34,67,57.00
82,Doris,82,77,49,31,59.00
83,Hector,16,84,97,45,60.00
84,Wayne,24,2,62,89,44.00
85,Jasper,29,6,9,79,30.00
86,Germane,4,40,27,94,41.00
87,Mohammad,11,21,82,51,41.00
88,Cruz,30,18,23,28,24.00
89,Garrison,12,31,88,67,49.00
90,Carissa,16,44,13,92,41.00
91,Urielle,19,90,42,54,51.00
92,India,85,71,28,37,55.00
93,Otto,86,3,20,100,52.00
94,Adara,97,53,48,92,72.00
95,Thaddeus,62,44,21,34,40.00
96,Marny,21,97,18,10,36.00
97,Urielle,97,11,69,48,56.00
98,Kylie,32,36,86,5,39.00
99,Iola,66,35,93,69,65.00
100,Callum,36,44,30,99,52.00
101,Colt,65,38,59,99,65.00
102,Ryan,3,57,86,62,52.00
103,Jenna,16,38,87,83,56.00
104,Noel,19,6,18,68,27.00
105,Colt,65,84,18,58,56.00
106,Echo,27,25,85,51,47.00
107,Nichole,65,35,73,51,56.00
108,Cooper,25,18,60,22,31.00
109,Jin,44,26,50,1,30.00
110,Davis,82,6,11,27,31.00
111,Basia,38,42,78,17,43.00
112,Hedwig,81,25,7,92,51.00
113,Ignatius,71,58,100,42,67.00
114,Chava,19,8,95,8,32.00
115,Glenna,12,70,28,86,49.00
116,Julie,66,84,13,75,59.00
117,Ezekiel,59,54,18,20,37.00
118,Drake,8,47,4,22,20.00
119,Mohammad,9,64,12,11,24.00
120,Howard,1,6,62,63,33.00
121,Jason,71,94,32,52,62.00
122,Clio,27,75,93,18,53.00
123,Philip,3,26,33,42,26.00
124,Fulton,12,63,38,31,36.00
125,Gil,26,77,6,42,37.00
126,Xantha,47,54,10,38,37.00
127,Phyllis,100,41,57,52,62.00
128,Vera,78,85,52,66,70.00
129,Yuri,11,20,72,56,39.00
130,Curran,62,18,7,17,26.00
131,Daniel,100,99,27,58,71.00
132,Fatima,67,43,20,10,35.00
133,Kadeem,32,36,32,82,45.00
134,Oscar,43,57,7,1,27.00
135,Brynne,98,80,93,90,90.00
136,Susan,14,12,44,46,29.00
137,Hop,14,22,87,43,41.00
138,Shellie,79,34,85,40,59.00
139,Destiny,90,30,44,25,47.00
140,Devin,29,1,87,52,42.00
141,Ciara,85,39,31,33,47.00
142,Valentine,88,81,77,19,66.00
143,Elaine,23,62,42,40,41.00
144,Jack,11,33,10,34,22.00
145,Malachi,81,62,90,65,74.00
146,Whilemina,65,56,74,27,55.00
147,Briar,45,91,70,94,75.00
148,MacKenzie,82,87,55,16,60.00
149,Minerva,14,100,42,83,59.00
150,Morgan,17,52,27,65,40.00
151,Dacey,97,64,56,97,78.00
152,Ashton,45,97,69,23,58.00
153,Perry,21,57,19,43,35.00
154,Iliana,73,97,39,86,73.00
155,Jonah,23,41,48,46,39.00
156,Burke,81,47,40,11,44.00
157,Dante,79,50,2,58,47.00
158,Melvin,5,81,1,33,30.00
159,Cheyenne,76,52,30,38,49.00
160,Jade,58,36,44,97,58.00
161,Emi,51,80,95,19,61.00
162,Ignatius,39,59,69,57,56.00
163,Wylie,37,15,21,23,24.00
164,Palmer,93,53,79,73,74.00
165,Marshall,67,40,96,26,57.00
166,Orli,65,7,30,31,33.00
167,Josiah,99,81,12,54,61.00
168,Maia,73,61,63,44,60.00
169,Phyllis,8,93,5,69,43.00
170,Avram,49,18,71,17,38.00
171,Denton,55,64,44,78,60.00
172,Hall,97,23,57,39,54.00
173,Teegan,58,92,11,20,45.00
174,Stewart,64,90,48,4,51.00
175,Hedwig,71,54,23,18,41.00
176,Selma,68,58,62,42,57.00
177,Nomlanga,58,88,80,25,62.00
178,John,62,44,66,77,62.00
179,Julian,58,83,44,69,63.00
180,Elijah,62,24,16,77,44.00
181,Gillian,98,62,16,43,54.00
182,Lysandra,70,66,35,6,44.00
183,Dorian,44,20,3,26,23.00
184,Dennis,44,2,59,29,33.00
185,Jerome,10,6,16,36,17.00
186,Cain,54,88,86,12,60.00
187,George,68,93,40,21,55.00
188,Emma,14,100,24,29,41.00
189,Leroy,26,25,97,86,58.00
190,Cecilia,18,59,99,55,57.00
191,Zelda,78,92,19,82,67.00
192,Carter,13,3,71,62,37.00
193,Hector,3,46,94,91,58.00
194,Hashim,40,94,29,95,64.00
195,Melanie,14,98,9,28,37.00
196,Walker,24,82,49,100,63.00
197,Xenos,12,20,67,6,26.00
198,Kermit,12,94,63,86,63.00
199,Honorato,86,59,91,79,78.00
200,Craig,63,72,33,39,51.00
201,Gloria,82,42,83,13,55.00
202,Clio,5,28,97,96,56.00
203,Shellie,51,25,89,94,64.00
204,Liberty,55,52,87,50,61.00
205,Zane,17,45,6,35,25.00
206,Tiger,68,4,75,98,61.00
